Example,Phrase,Concept,Tag,Field,Value
14, act of terrorism,Impossibility,event_class,,
14, of a natural or man-made disaster,Impossibility,event_class,,
14, such business is not continued by a successor ,Ratings Based,rating_based_class,,
16,(B) by thirty percent (30%) or more compared to the Net Asset Value,Event Type Attribute,event_class,Valuation Amount,30%
16,(C) by twenty percent (20%) or more compared to the Net Asset Value ,Event Type Attribute,event_class,Valuation Amount,20%
16,"(D) as of any day the Net Asset Value of Party B declines below USD30,000,000",Event Type Attribute,event_class,Valuation Amount,"USD30,000,000"
14,A-2 by S&P,Ratings Based,rating_based_class,Credit Rating Code,A-2 -- P-2
14,A3 by Moody's,Ratings Based,rating_based_class,Credit Rating Code,A- --- A-3
14,ABC,Investment Manager,event_class,Person Z acting as IM,Y/N
16,ABC ceases to act at any time as investment manager on behalf of,Event Type Attribute,event_class,Person X ceases to be responsible for portfolio management,"Y,N"
16,"ability to exercise its rights, under this agreement",Event Type Attribute,event_class,,
16,"ability to exercise its rights, under this Agreement or any Transaction hereunder",Event Type Attribute,event_class,Party A unable to exercise rights,Y
14,Additional Event of Default,Event Type Identification,event_class,ATE/AEOD,Additional Event of Default
23,Additional Termination Event,ATE / AEOD,event_class,ATE/AEOD,ATE
14,"after the date on which a Transaction is entered into, it ",Impossibility,event_class,All Transactions Affected Flag (Y/N),N
16,Agreement or any Transaction,Event Type Attribute,event_class,,
14,all outstanding Transactions,Ratings Based,rating_based_class,,
14,amounts calculated as set forth in Appendix B,Ratings Based,rating_based_class,,
14,and shall not constitute an Event of Default.,Ratings Based,rating_based_class,ATE/AEOD,AEOD
16,and upon three (3) Local Business Day's ,Notification,notification_class,Notification Days,3
16,any financial information,Event Type Attribute,event_class,Financial Information Provided,"Y,N"
16,Any of the constitutive documents or the Prospectus relating to,Event Type Attribute,event_class,,
14,armed conflict,Impossibility,event_class,,
16,as long as no Termination Event or Event of Default shall have occurred,,,,
14,"Baa1 by Moody's Investors Services, Inc. (or any successor entity (""Moody's"")",Ratings Based,rating_based_class,Credit Rating Code,BBB+---Baa1  
3,Baa2 by Moody's,Rating_Based,rating_based_class,Credit Rating Agency,"SP, Moody"
